ppt_number,agency,watchlist_details,status,notes
145,Hindustan Copper Ltd (HCL),Black Listed Vendors,pending_recon,
146,Indian Oil Corporation Limited (IOCL),Debarment List,pending_recon,
147,National Highways & Infrastructure Development Corporation Limited (NHIDCL),Blacklisted Consultants,pending_recon,
148,National Highways & Infrastructure Development Corporation Limited (NHIDCL),Blacklisted Contractors,pending_recon,
149,National Highways & Infrastructure Development Corporation Limited (NHIDCL),Blacklisted Key Professionals,pending_recon,
150,National Thermal Power Corporation Limited (NTPC),Vendors Debarred from Enlistment,pending_recon,
151,NLC India Limited (NLC),List of Banned / Debarred Vendors,pending_recon,
152,Oil and Natural Gas Corporation (ONGC),Banned Firms,pending_recon,
153,Power Grid Corporation of India Ltd (POWERGRID),List of Blacklisted Firms,pending_recon,
154,Rail Vikas Nigam Limited (RVNL),Disqualified Contractors and Consultants,pending_recon,
155,Rashtriya Ispat Nigam Limited (RINL),List of Banned / Debarred Vendors,pending_recon,
156,Rural Electrification Corporation (REC),List of Banned Firms,pending_recon,
157,Telecom Regulatory Authority of India (TRAI),List of Defaulters,pending_recon,
158,Uttar Pradesh Power Corporation Limited (UPPCL),Blacklisted Company,pending_recon,
159,Bombay Stock Exchange (BSE),Defaulters List,pending_recon,
160,Bombay Stock Exchange (BSE),Suspended Companies,pending_recon,
161,Central Depository Services (India) Limited (CDSL),Arbitration,pending_recon,
162,Central Depository Services (India) Limited (CDSL),Complaints and Arbitration Details,pending_recon,
163,Central Depository Services (India) Limited (CDSL),List of PANs Frozen on Account of Non,pending_recon,
164,DSE Estates Limited (DEL),Delisted Companies,pending_recon,
165,DSE Estates Limited (DEL),List of Suspended Companies,pending_recon,
166,Indian Clearing Corporation Limited (ICCL),Defaulter & Expelled Members,pending_recon,
167,Indian Commodity Exchange Ltd (ICEX),List of Defaulter Members,pending_recon,
168,Indian Commodity Exchange Ltd (ICEX),List of Expelled Members,pending_recon,
169,Indian Commodity Exchange Ltd (ICEX),List of Surrendered Members,pending_recon,
170,Metropolitan Stock Exchange (MSE),Complaint Status,pending_recon,
171,Metropolitan Stock Exchange (MSE),Final Enforcement Orders Passed Against Trading Members,pending_recon,
172,Metropolitan Stock Exchange (MSE),List Of Debarred Entities Based On Orders / Directions From Other Competent Authorities,pending_recon,
173,Metropolitan Stock Exchange (MSE),List Of Debarred Entities Based On Orders / Directions From SEBI,pending_recon,
174,Metropolitan Stock Exchange (MSE),List of Defaulter Members,pending_recon,
175,Metropolitan Stock Exchange (MSE),List of Expelled Members,pending_recon,
176,Multi Commodity Exchange (MCX),Disciplinary Action Taken against Authorised Persons,pending_recon,
177,Multi Commodity Exchange (MCX),Enforcement Orders,pending_recon,
178,Multi Commodity Exchange (MCX),List of Members Declared Defaulters,pending_recon,
179,Multi Commodity Exchange (MCX),List of Members Expelled,pending_recon,
180,Multi Commodity Exchange (MCX),List of Surrendered/Ceased Members,pending_recon,
181,Multi Commodity Exchange (MCX),Members Deactivated Suspended Debarred for Serious Violations,pending_recon,
182,Multi Commodity Exchange (MCX),Penalties,pending_recon,
183,National Commodity and Derivatives Exchange (NCDEX),Cessation of Membership,pending_recon,
184,National Commodity and Derivatives Exchange (NCDEX),Defaulting Clients Database,pending_recon,
185,National Commodity and Derivatives Exchange (NCDEX),List of Ceased Members (For Non,pending_recon,
186,National Commodity and Derivatives Exchange (NCDEX),List of Defaulter Members,pending_recon,
187,National Commodity and Derivatives Exchange (NCDEX),List of Expelled Members,pending_recon,
188,National Commodity and Derivatives Exchange (NCDEX),List Surrender Member,pending_recon,
189,National Commodity and Derivatives Exchange (NCDEX),Members Inspection Penalty List,pending_recon,
